description_length,type,priority,estimated_days,story_points,num_comments,avg_comment_length,sprint_days_given,is_problematic
273,Story,Minor,0,8,1,307.0000,8,1
260,Bug,Minor,0,1,,,9,1
239,Story,Minor,0,2,,,9,1
240,Bug,Minor,0,1,,,9,1
281,Story,Minor,0,3,,,10,1
204,Story,Minor,0,3,1,26.0000,11,1
938,Bug,Major,0,1,4,162.2500,11,1
112,Story,Major,0,5,,,11,1
338,Story,Minor,0,1,,,14,1
0,Story,Minor,0,5,,,1,1
273,Improvement,Minor,0,1,,,14,1
113,Technical task,Minor,0,1,,,15,1
145,Story,Minor,0,1,1,43.0000,15,1
153,Story,Minor,0,3,,,15,1
333,Bug,Critical,0,5,3,1057.3333,16,1
31,Story,Minor,0,1,2,48.5000,16,1
9240,Bug,Major,0,5,9,315.0000,5,1
418,Story,Minor,0,5,1,60.0000,21,1
0,Story,Critical,0,1,,,8,1
494,Bug,Major,0,3,,,22,1
51,Technical task,Minor,0,1,1,138.0000,-194,1
126,Story,Minor,0,1,,,22,1
275,Story,Minor,0,2,1,125.0000,9,1
86,Story,Minor,0,5,,,9,1
97,Story,Minor,0,1,,,53,1
11960,Bug,Blocker,0,2,1,300.0000,9,1
0,Story,Major,0,1,,,53,1
155,Story,Minor,0,2,1,116.0000,9,1
174,Bug,Critical,0,1,,,11,1
78,Bug,Minor,0,1,,,11,1
6269,Bug,Minor,0,1,,,11,1
203,Story,Minor,0,3,,,11,1
275,Story,Minor,0,1,,,25,1
60,Story,Minor,0,5,,,25,1
155,Story,Minor,0,3,2,89.0000,43,1
160,Story,Minor,0,5,1,462.0000,25,1
1639,Bug,Major,0,5,,,43,1
8971,Bug,Blocker,0,1,,,12,1
368,Story,Minor,0,3,1,26.0000,12,1
368,Story,Minor,0,8,1,1075.0000,28,1
178,Story,Minor,0,3,1,189.0000,28,1
146,Story,Critical,0,2,,,1,1
197,Story,Minor,0,8,,,28,1
169,Bug,Blocker,0,3,,,2,1
200,Story,Minor,0,8,1,44.0000,17,1
